dataset,sample_size,seed,iteration,split,method,accuracy,macro_f1,delta_vs_vanilla,delta_vs_random_aug,per_class_accuracy_delta,result_file
ag_news,16,3,,,vanilla,86.53947368421052,86.50535132721569,0.0,0.35526315789473983,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0}",/tmp/cloud3_results_k5bbj9te/ag-news/16-shot/seed-3/vanilla.json
ag_news,16,4,,,error_driven,85.22368421052632,85.1026969482002,-0.4473684210526301,1.2631578947368354,"{""0"": 1.05263157894737, ""1"": 0.3157894736842195, ""2"": -0.6842105263157805, ""3"": -2.473684210526315}",/tmp/cloud3_results_k5bbj9te/ag-news/16-shot/seed-4/error_driven.json
ag_news,16,4,,,random_aug,83.96052631578948,83.79085101897788,-1.7105263157894655,0.0,"{""0"": 2.6842105263157947, ""1"": -0.05263157894736992, ""2"": -4.052631578947356, ""3"": -5.421052631578945}",/tmp/cloud3_results_k5bbj9te/ag-news/16-shot/seed-4/random_aug.json
ag_news,16,4,,,vanilla,85.67105263157895,85.6030726638922,0.0,1.7105263157894655,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0}",/tmp/cloud3_results_k5bbj9te/ag-news/16-shot/seed-4/vanilla.json
sst2,4,0,,,error_driven,51.61998901702361,51.041171715285195,-0.8237232289950569,2.0867655134541465,"{""0"": -0.7675438596491233, ""1"": -0.8800880088008896}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-0/error_driven.json
sst2,4,0,,,random_aug,49.53322350356947,37.313330523949986,-2.9104887424492034,0.0,"{""0"": -36.07456140350877, ""1"": 30.36303630363036}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-0/random_aug.json
sst2,4,0,,,vanilla,52.44371224601867,51.86891870444751,0.0,2.9104887424492034,"{""0"": 0.0, ""1"": 0.0}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-0/vanilla.json
sst2,4,1,,,error_driven,57.77045579352005,57.71148725756979,-1.3728720483250925,5.43657331136739,"{""0"": -3.6184210526315823, ""1"": 0.8800880088008896}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-1/error_driven.json
sst2,4,1,,,random_aug,52.33388248215266,38.773129138918925,-6.809445359692482,0.0,"{""0"": 34.210526315789465, ""1"": -47.96479647964796}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-1/random_aug.json
sst2,4,1,,,vanilla,59.14332784184514,58.99641663841945,0.0,6.809445359692482,"{""0"": 0.0, ""1"": 0.0}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-1/vanilla.json
